vocab_size,seq_length,remove_stopwords,batch_size,embedding_dim,hidden_dim,dropout_rate,learning_rate,best_val_f1,final_val_acc,final_val_f1,stoi_size
5000,500,False,32,128,256,0.3,0.001,0.8956468424279583,0.893625,0.8956468424279583,5002
5000,500,False,32,128,128,0.3,0.001,0.8905250452625226,0.886625,0.8905250452625226,5002
5000,500,False,32,128,128,0.5,0.001,0.8854775828460039,0.8825,0.8854775828460039,5002
5000,500,False,32,128,128,0.3,0.0005,0.8835675015271839,0.880875,0.8835675015271839,5002
5000,300,False,32,128,128,0.3,0.001,0.8826384567517113,0.881625,0.8815213311647692,5002
1000,500,True,32,128,128,0.3,0.001,0.8559081368070132,0.854125,0.8559081368070132,1002
